id,color,reg_city,assembly,cc,body
11801336,Turquoise,Islamabad,Imported,660 cc,Hatchback
11914793,White,Islamabad,Imported,660 cc,Hatchback
11914737,Blue,Islamabad,Imported,660 cc,Hatchback
11893815,White,Punjab,Local,660 cc,Hatchback
11864127,Maroon,Islamabad,Imported,660 cc,Hatchback
11911640,Beige,Islamabad,Imported,660 cc,Hatchback
11915164,Silver,Punjab,Imported,660 cc,N/A
11914955,Black,Lahore,Imported,660 cc,Mini Van
11890948,White,Islamabad,Local,660 cc,Hatchback
11890066,Beige,Lahore,Imported,660 cc,Hatchback
11914534,White,Punjab,Local,660 cc,Hatchback
11700811,Solid White,Islamabad,Local,660 cc,Hatchback
11551186,Dark Brown Metallic,Punjab,Imported,660 cc,Hatchback
11914169,White,Islamabad,Local,660 cc,Hatchback
11913875,Red,Islamabad,Imported,660 cc,Hatchback
11913853,Silver,Lahore,Imported,660 cc,Hatchback
11913807,Silver,Islamabad,Imported,660 cc,N/A
11911891,Black,Punjab,Imported,660 cc,N/A
11911620,White,Islamabad,Imported,660 cc,Hatchback
11880680,Pearl Black,Islamabad,Local,660 cc,Hatchback
11571929,Unlisted,Islamabad,Imported,660 cc,Hatchback
11861620,Black,Islamabad,Imported,660 cc,Hatchback
11862850,Red,Islamabad,Imported,660 cc,N/A
11899112,White,Lahore,Imported,660 cc,N/A
11910129,Blue,Sindh,Imported,660 cc,Hatchback
11774671,Blue,Islamabad,Local,660 cc,Hatchback
11568673,Black,Islamabad,Imported,660 cc,Hatchback
11913443,White,Sindh,Local,660 cc,Hatchback
11913283,White,Islamabad,Local,660 cc,Hatchback
11913221,White,Islamabad,Local,660 cc,Hatchback
11913153,White,Islamabad,Local,660 cc,Hatchback
11913132,White,Islamabad,Local,660 cc,Hatchback
11913041,Pearl white,Islamabad,Imported,660 cc,Hatchback
11912845,White,Abbottabad,Local,660 cc,Hatchback
11912579,Black,Islamabad,Imported,660 cc,Hatchback
11912495,Purple,Islamabad,Imported,660 cc,Hatchback
11734068,Silver,Islamabad,Imported,660 cc,N/A
11912304,Black,Islamabad,Imported,660 cc,Mini Van
11912323,White,Abbottabad,Local,660 cc,Hatchback
11912309,Blue,Lahore,Local,660 cc,N/A
11731526,Black,Islamabad,Imported,660 cc,Hatchback
11889639,White,Islamabad,Local,660 cc,Hatchback
11907493,White,Rawalpindi,Local,660 cc,Hatchback
11860789,Solid White,Islamabad,Local,660 cc,Hatchback
11905668,White,Islamabad,Imported,660 cc,Mini Van
11832569,Beige,Islamabad,Imported,660 cc,Hatchback
11904235,Pearl White,Islamabad,Imported,660 cc,Hatchback
11903022,White,Islamabad,Imported,660 cc,N/A
11808181,Bright Silver Metallic,Islamabad,Imported,660 cc,Hatchback
11912173,White,Islamabad,Imported,660 cc,N/A
11912133,White,Islamabad,Imported,660 cc,Hatchback
11911982,White,Islamabad,Local,660 cc,Hatchback
11675993,White,Islamabad,Imported,660 cc,Hatchback
11911724,Blue,Islamabad,Imported,660 cc,N/A
11897844,Silver,Islamabad,Local,660 cc,Hatchback
11910978,White,Islamabad,Local,660 cc,Hatchback
11909982,White,Punjab,Imported,660 cc,N/A
11910896,Sky Blue,Islamabad,Local,660 cc,Hatchback
11763279,Silver,Punjab,Imported,660 cc,N/A
11703275,Silky Silver Metallic,Islamabad,Imported,660 cc,N/A
11896413,Maroon,Islamabad,Imported,658 cc,Hatchback
11707708,Bluish Black Pearl,Islamabad,Imported,660 cc,Hatchback
11893347,White,Islamabad,Local,660 cc,Hatchback
11892791,Maroon,Punjab,Local,660 cc,Hatchback
11892743,Red,Punjab,Imported,660 cc,Hatchback
11892505,Blue,Islamabad,Local,660 cc,Hatchback
11890884,Silky Silver,Islamabad,Local,660 cc,Hatchback
11135183,Blue,Karachi,Imported,660 cc,Station Wagon
11862614,White,Islamabad,Local,660 cc,Hatchback
11522508,Pink,Islamabad,Imported,660 cc,Hatchback
11910460,sky blue,Islamabad,Imported,660 cc,Hatchback
11910275,White,Islamabad,Local,660 cc,Hatchback
11910242,Black,Islamabad,Imported,660 cc,Hatchback
11909988,Blue,Punjab,Imported,660 cc,N/A
11864752,White,Lahore,Imported,660 cc,Hatchback
11909589,Blue,Islamabad,Imported,660 cc,Hatchback
11909389,Black,Punjab,Imported,660 cc,Mini Van
11909124,White,Punjab,Local,660 cc,Hatchback
11908998,Indigo,Lahore,Imported,660 cc,Hatchback
11877897,Black,Punjab,Imported,660 cc,Hatchback
11881962,White,Punjab,Local,660 cc,Hatchback
11884998,Beige,Islamabad,Imported,660 cc,N/A
11884403,Silver,Islamabad,Imported,660 cc,N/A
11745220,Indigo,Islamabad,Imported,660 cc,Hatchback
11865664,White,Islamabad,Imported,660 cc,Hatchback
11857379,Pink,Sindh,Imported,660 cc,Hatchback
11848406,Red,Islamabad,Local,660 cc,Mini Van
11908255,Solid White,Islamabad,Local,660 cc,Hatchback
11831995,Black,Islamabad,Imported,660 cc,Hatchback
11908120,sky light blue,Islamabad,Imported,660 cc,Hatchback
11908005,Blue,Punjab,Imported,660 cc,Hatchback
11907784,White,Islamabad,Local,660 cc,Hatchback
11907641,Silver,Islamabad,Imported,660 cc,Hatchback
11901041,Green,Islamabad,Local,660 cc,Hatchback
11907235,Silver,Islamabad,Imported,660 cc,Hatchback
11907254,White,Islamabad,Imported,660 cc,Hatchback
11854698,Unlisted,Islamabad,Imported,660 cc,Hatchback
11875284,Black,Islamabad,Imported,660 cc,Hatchback
11907230,Burgundy,Islamabad,Imported,660 cc,Hatchback
11906964,Purple,Lahore,Imported,660 cc,Hatchback
11844083,White,Islamabad,Imported,660 cc,Hatchback
11905810,Indigo,Islamabad,Imported,660 cc,Hatchback
11905719,White,Punjab,Imported,660 cc,Hatchback
11905705,Golden,Punjab,Imported,660 cc,Hatchback
11905555,White,Punjab,Imported,660 cc,N/A
11905339,White,Punjab,Local,660 cc,Hatchback
11905158,White,Islamabad,Local,660 cc,Hatchback
11904981,White,Islamabad,Local,660 cc,Hatchback
11904929,Maroon,Islamabad,Imported,660 cc,N/A
11904832,Silver,Islamabad,Imported,660 cc,Hatchback
11904581,White,Punjab,Local,660 cc,Hatchback
11904380,White,Islamabad,Local,660 cc,Hatchback
11903924,Urban Brown Pearl,Punjab,Imported,660 cc,Hatchback
11903898,White,Islamabad,Local,660 cc,Hatchback
11903208,White,Islamabad,Local,660 cc,Hatchback
