id,title,loc,spec,badge,rating,pics,cache,slug,path
11703275,Suzuki Alto 2014,Rawalpindi,"2014 126,876 km Petrol 660 cc Automatic",M,7.3,14,4,suzuki-alto-2014-146907754,/used-cars/suzuki-alto-2014-for-sale-in-rawalpindi-11703275
11573861,Suzuki Alto 2022,Islamabad,"2022 60,872 km Petrol 660 cc Manual",M,8.7,13,1,suzuki-alto-vxr-2-2022-144955679,/used-cars/suzuki-alto-2022-for-sale-in-islamabad-11573861
11791962,Mitsubishi EK Wagon 2014,Rawalpindi,"2014 150,000 km Petrol 660 cc Automatic",,,8,3,mitsubishi-ek-wagon-e-10-2014-148268960,/used-cars/mitsubishi-ek-wagon-2014-for-sale-in-rawalpindi-11791962
11791921,Suzuki Alto 2021,Islamabad,"2021 88,000 km Petrol 660 cc Manual",,,10,2,suzuki-alto-2021-148268439,/used-cars/suzuki-alto-2021-for-sale-in-islamabad-11791921
11791749,Mitsubishi EK Wagon 2015,Islamabad,"2015 80,000 km Petrol 660 cc Automatic",,,16,2,mitsubishi-ek-wagon-2015-148262038,/used-cars/mitsubishi-ek-wagon-2015-for-sale-in-islamabad-11791749
11615432,Daihatsu Mira 2014,Islamabad,"2014 131,200 km Petrol 660 cc Automatic",,,14,3,daihatsu-mira-x-sa-2-2014-148080986,/used-cars/daihatsu-mira-2014-for-sale-in-islamabad-11615432
11791453,Daihatsu Move 2014,Islamabad,"2014 120,000 km Petrol 660 cc Automatic",,,5,3,daihatsu-move-x-5-2014-148261174,/used-cars/daihatsu-move-2014-for-sale-in-islamabad-11791453
11747654,Suzuki Alto 2014,Islamabad,"2014 141,291 km Petrol 660 cc Automatic",M,6.9,15,3,suzuki-alto-2014-147589642,/used-cars/suzuki-alto-2014-for-sale-in-islamabad-11747654
11780395,Suzuki Wagon R 2014,Islamabad,"2014 89,000 km Petrol 660 cc Automatic",,,13,2,suzuki-wagon-r-2014-148261234,/used-cars/suzuki-wagon-r-2014-for-sale-in-islamabad-11780395
11511891,Suzuki Wagon R 2015,Islamabad,"2015 68,000 km Petrol 660 cc Automatic",,,8,2,suzuki-wagon-r-fx-limited-2015-147050521,/used-cars/suzuki-wagon-r-2015-for-sale-in-islamabad-11511891
11791654,Mitsubishi EK Custom 2015,Islamabad,"2015 120,000 km Petrol 660 cc Automatic",,,6,3,mitsubishi-ek-custom-t-6-2016-148264264,/used-cars/mitsubishi-ek-custom-2015-for-sale-in-islamabad-11791654
11791461,Suzuki Alto 2021,Islamabad,"2021 99,850 km Petrol 660 cc Automatic",,,4,3,suzuki-alto-vxl-2-2021-148261686,/used-cars/suzuki-alto-2021-for-sale-in-islamabad-11791461
11724773,Suzuki Alto 2014,Islamabad,"2014 75,000 km Petrol 660 cc Automatic",,,8,1,suzuki-alto-eco-s-2014-147236115,/used-cars/suzuki-alto-2014-for-sale-in-islamabad-11724773
11435234,Suzuki Alto 2012,Rawalpindi,"2012 111,000 km Petrol 660 cc Automatic",,,12,3,suzuki-alto-e-2012-142817201,/used-cars/suzuki-alto-2012-for-sale-in-rawalpindi-11435234
11791251,Mitsubishi EK Wagon 2016,Islamabad,"2016 200,000 km Petrol 660 cc Automatic",,,20,4,mitsubishi-ek-wagon-g-safety-plus-edition-2016-148258086,/used-cars/mitsubishi-ek-wagon-2016-for-sale-in-islamabad-11791251
11585619,Suzuki Wagon R 2014,Islamabad,"2014 71,000 km Petrol 660 cc Automatic",,,11,4,suzuki-wagon-r-fx-limited-2014-145130761,/used-cars/suzuki-wagon-r-2014-for-sale-in-islamabad-11585619
11736662,Suzuki Every 2013,Rawalpindi,"2013 149,000 km Petrol 660 cc Automatic",,,8,2,suzuki-every-ga-2013-148064775,/used-cars/suzuki-every-2013-for-sale-in-rawalpindi-11736662
11791118,Suzuki Alto 2019,Islamabad,"2019 260,000 km Petrol 660 cc Manual",,,5,1,suzuki-alto-vxr-2-2019-148256401,/used-cars/suzuki-alto-2019-for-sale-in-islamabad-11791118
